110.00,, 24.76,, 21.62,, 30.86,, 0.77,, NONE,, 0.00, 
110.00,, 25.92,, 22.41,, 34.02,, 0.77,, NONE,, 0.00, 
110.00,, 28.32,, 21.56,, 23.74,, 0.77,, NONE,, 0.00, 
110.00,, 23.20,, 21.61,, 32.00,, 0.77,, NONE,, 0.00, 
110.00,, 23.59,, 20.62,, 34.48,, 0.77,, NONE,, 0.00, 
110.00,, 22.66,, 20.55,, 32.82,, 0.77,, NONE,, 0.00, 
110.00,, 25.78,, 21.72,, 31.88,, 0.77,, NONE,, 0.00, 
110.00,, 32.30,, 17.32,, 28.69,, 0.76,, NONE,, 0.00, 
110.00,, 26.63,, 17.75,, 28.83,, 0.76,, NONE,, 0.00, 
110.00,, 30.97,, 15.36,, 26.33,, 0.76,, NONE,, 0.00, 
110.00,, 28.75,, 20.02,, 23.20,, 0.76,, NONE,, 0.00, 
110.00,, 27.77,, 20.24,, 30.86,, 0.76,, NONE,, 0.00, 
110.00,, 26.27,, 14.90,, 24.41,, 0.76,, NONE,, 0.00, 
110.00,, 28.81,, 13.35,, 31.20,, 0.76,, NONE,, 0.00, 
110.00,, 29.06,, 15.86,, 23.43,, 0.76,, NONE,, 0.00, 
110.00,, 32.77,, 14.74,, 27.68,, 0.76,, NONE,, 0.00, 
110.00,, 23.91,, 15.52,, 30.66,, 0.76,, NONE,, 0.00, 
110.00,, 33.25,, 17.35,, 25.56,, 0.76,, NONE,, 0.00, 
110.00,, 32.17,, 15.48,, 23.36,, 0.76,, NONE,, 0.00, 
110.00,, 22.81,, 16.51,, 33.63,, 0.76,, NONE,, 0.00, 
110.00,, 23.47,, 17.77,, 28.27,, 0.76,, NONE,, 0.00, 
110.00,, 33.84,, 15.60,, 25.65,, 0.76,, NONE,, 0.00, 
110.00,, 20.22,, 19.03,, 30.23,, 0.75,, NONE,, 0.00, 
110.00,, 15.30,, 17.87,, 23.98,, 0.75,, NONE,, 0.00, 
110.00,, 20.97,, 17.55,, 27.96,, 0.75,, NONE,, 0.00, 
110.00,, 19.80,, 17.83,, 30.32,, 0.75,, NONE,, 0.00, 
110.00,, 23.04,, 21.85,, 28.24,, 0.75,, NONE,, 0.00, 
